Task Type,Run Number,Final Accuracy
class_split,1,0.8630430738971943
class_split,2,0.847909946622498
class_split,3,0.861637775113148
class_split,4,0.8719919466366167
class_split,5,0.868892902134764
permutation,1,0.758820909090909
permutation,2,0.7622018181818182
permutation,3,0.7745427272727272
permutation,4,0.7575709090909091
permutation,5,0.7606818181818182
rotation,1,0.5820654545454546
rotation,2,0.5711472727272727
rotation,3,0.5632618181818182
rotation,4,0.5802236363636364
rotation,5,0.5732727272727273
