Notes,Task,Folder,Dataset,Avg Accuracy,Std Dev.,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,A-Better?,A-BGD,A-TA-A-GEM,Forgetting_1,Forgetting_2,Forgetting_3,Forgetting_4,Forgetting_5,F-Better?,F-BGD,F-TA-A-GEM,FirstTask_1,FirstTask_2,FirstTask_3,FirstTask_4,FirstTask_5,T-Better?,T-BGD,T-TA-A-GEM
,Class Split,4-cc-cifar-047_1-BGD,CIFAR-10,,,0.662383,0.659512,0.661529,0.664421,0.661524,,,,0.180956,0.192069,0.173169,0.171094,0.176256,,,,0.650575,0.643120,0.646990,0.657690,0.652210,,,
,Permutation,4-cc-cifar-047_1-BGD,CIFAR-10,,,0.206407,0.192989,0.224504,0.201828,0.207240,,,,0.053894,0.025144,0.021294,0.033389,0.032111,,,,0.186780,0.157425,0.202670,0.147470,0.171845,,,
,Rotation,4-cc-cifar-047_1-BGD,CIFAR-10,,,0.215185,0.218359,0.215154,0.223228,0.197137,,,,0.011700,0.038194,0.065850,0.072028,0.042889,,,,0.164730,0.158250,0.155600,0.155275,0.141425,,,
,Class Split,4-cc-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.672079,0.678108,0.666290,0.674390,0.674478,,,,0.179137,0.174281,0.160213,0.189437,0.180375,,,,0.659330,0.672455,0.659840,0.661615,0.661990,,,
,Permutation,4-cc-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.230443,0.224391,0.219802,0.228533,0.219808,,,,0.073794,0.079000,0.069561,0.062522,0.102706,,,,0.188840,0.186330,0.196655,0.186915,0.179075,,,
,Rotation,4-cc-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.226121,0.217631,0.223420,0.224940,0.226829,,,,0.055622,0.081767,0.045667,0.023133,0.062639,,,,0.204230,0.179535,0.212205,0.227920,0.204870,,,
,Class Split,4-cc-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.673658,0.670889,0.682574,0.681312,0.679463,,,,0.147719,0.163612,0.155937,0.135844,0.167294,,,,0.671275,0.658510,0.684035,0.680235,0.668635,,,
,Permutation,4-cc-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.232533,0.234254,0.225791,0.224011,0.233490,,,,0.051917,0.055850,0.061261,0.045322,0.058117,,,,0.194985,0.209300,0.202985,0.196280,0.196640,,,
,Rotation,4-cc-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.223850,0.221301,0.224160,0.216320,0.224107,,,,0.011900,0.039533,0.041239,0.066206,0.031256,,,,0.209830,0.199980,0.212720,0.189120,0.223625,,,
,Class Split,4-cc-cifar-sr1-909-v1,CIFAR-10,,,0.672601,0.673921,0.672713,0.674625,0.674362,,,,0.165219,0.176294,0.165750,0.165856,0.171588,,,,0.666955,0.670130,0.669170,0.668585,0.667075,,,
,Permutation,4-cc-cifar-sr1-909-v1,CIFAR-10,,,0.222272,0.229623,0.226802,0.230880,0.223897,,,,0.031239,-0.000067,-0.003511,0.050156,0.036756,,,,0.189935,0.222995,0.215330,0.190810,0.182850,,,
,Rotation,4-cc-cifar-sr1-909-v1,CIFAR-10,,,0.232347,0.231301,0.233155,0.223988,0.228665,,,,0.027539,0.019911,0.027178,0.043117,0.036128,,,,0.197555,0.205785,0.205230,0.193675,0.202810,,,
,Class Split,4-cc-cifar-sr1-909-v2,CIFAR-10,,,0.672896,0.674260,0.669255,0.676515,0.673467,,,,0.156969,0.170412,0.164731,0.150369,0.162469,,,,0.670260,0.662545,0.660295,0.674360,0.667545,,,
,Permutation,4-cc-cifar-sr1-909-v2,CIFAR-10,,,0.239306,0.228896,0.228681,0.229406,0.232723,,,,0.003133,0.026328,0.048622,0.001628,0.025611,,,,0.219850,0.194340,0.167190,0.210205,0.200745,,,
,Rotation,4-cc-cifar-sr1-909-v2,CIFAR-10,,,0.229510,0.231860,0.226821,0.229437,0.235882,,,,0.006061,0.008728,0.028272,0.023817,0.025211,,,,0.203615,0.207495,0.200580,0.200960,0.210020,,,
,Class Split,4-cc-cifar-sr1-megaii-oldest,CIFAR-10,,,0.674667,0.679214,0.675378,0.675311,0.676251,,,,0.176344,0.175119,0.179081,0.179469,0.180819,,,,0.657265,0.668565,0.661725,0.657035,0.660090,,,
,Permutation,4-cc-cifar-sr1-megaii-oldest,CIFAR-10,,,0.231777,0.217798,0.225185,0.221778,0.224218,,,,0.054061,0.085972,0.043561,0.060444,0.053900,,,,0.196465,0.162930,0.190920,0.192685,0.215885,,,
,Rotation,4-cc-cifar-sr1-megaii-oldest,CIFAR-10,,,0.220041,0.218509,0.219479,0.213312,0.218976,,,,0.083189,0.037956,0.065128,0.059339,0.028722,,,,0.190965,0.217400,0.198875,0.189445,0.209675,,,
,Class Split,4-cc-cifar-sr1-normal-mean,CIFAR-10,,,0.673743,0.675668,0.674485,0.672945,0.668968,,,,0.166488,0.164250,0.162169,0.171919,0.178756,,,,0.666150,0.668465,0.669565,0.666025,0.651915,,,
,Permutation,4-cc-cifar-sr1-normal-mean,CIFAR-10,,,0.224676,0.221137,0.222579,0.229533,0.229595,,,,0.065400,0.036378,0.011528,0.002400,0.052994,,,,0.184870,0.176210,0.206245,0.202035,0.183235,,,
,Rotation,4-cc-cifar-sr1-normal-mean,CIFAR-10,,,0.231986,0.228173,0.232351,0.228030,0.230504,,,,0.020633,0.044189,0.036267,0.022250,0.027433,,,,0.202905,0.191135,0.207065,0.197395,0.196700,,,
,Class Split,4-cc-cifar-sr1-normal-oldest,CIFAR-10,,,0.672485,0.674456,0.671870,0.672781,0.674697,,,,0.165069,0.170962,0.164962,0.165000,0.162162,,,,0.666650,0.667220,0.663605,0.669000,0.670725,,,
