Notes,Task,Folder,Dataset,A-Average,A-Std Dev,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,A-Better?,A-BGD,A-TA-A-GEM,F-Average,F-Std Dev,Forgetting_1,Forgetting_2,Forgetting_3,Forgetting_4,Forgetting_5,F-Better?,F-BGD,F-TA-A-GEM,T-Average,T-Std Dev,FirstTask_1,FirstTask_2,FirstTask_3,FirstTask_4,FirstTask_5,T-Better?,T-BGD,T-TA-A-GEM
,Class Split,4-sq-cifar-047_1-BGD,CIFAR-10,,,0.667474,0.677347,0.666019,0.669163,0.666797,,,,,,0.200950,0.194513,0.184062,0.208506,0.197025,,,,,,0.644820,0.655820,0.653215,0.645255,0.649545,,,
,Permutation,4-sq-cifar-047_1-BGD,CIFAR-10,,,0.233766,0.204260,0.229750,0.204503,0.201886,,,,,,0.026456,0.045250,0.001156,0.000456,0.038167,,,,,,0.213985,0.177965,0.222250,0.179830,0.157385,,,
,Rotation,4-sq-cifar-047_1-BGD,CIFAR-10,,,0.201564,0.198057,0.201012,0.200572,0.201538,,,,,,0.078039,0.070050,0.107728,0.058017,0.082822,,,,,,0.131220,0.134100,0.146615,0.134680,0.143595,,,
,Class Split,4-sq-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.680617,0.681070,0.684539,0.682492,0.683850,,,,,,0.202781,0.200544,0.186325,0.203919,0.200012,,,,,,0.658415,0.661110,0.670270,0.660090,0.668355,,,
,Permutation,4-sq-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.219563,0.241785,0.224923,0.226071,0.233346,,,,,,0.100828,0.037578,0.067089,0.082411,0.071150,,,,,,0.173375,0.220700,0.204870,0.191170,0.204955,,,
,Rotation,4-sq-cifar-05_4-MEGA-oldest,CIFAR-10,,,0.226053,0.225395,0.218510,0.231013,0.225736,,,,,,0.071306,0.046189,0.049261,0.050922,0.054817,,,,,,0.206835,0.224175,0.213505,0.216935,0.219900,,,
,Class Split,4-sq-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.691566,0.697388,0.692346,0.685098,0.694167,,,,,,0.161119,0.175937,0.156362,0.172225,0.152138,,,,,,0.682910,0.691130,0.690440,0.672545,0.694265,,,
,Permutation,4-sq-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.229679,0.218770,0.234979,0.238432,0.232059,,,,,,0.056872,0.060439,0.040950,0.069478,0.059056,,,,,,0.197000,0.184770,0.204880,0.199665,0.194670,,,
,Rotation,4-sq-cifar-sr1-05_4-MEGA-mean,CIFAR-10,,,0.227095,0.221959,0.216169,0.223611,0.229937,,,,,,0.023339,0.065461,0.061550,0.034794,0.033389,,,,,,0.221105,0.196980,0.191720,0.200375,0.222795,,,
,Class Split,4-sq-cifar-sr1-909-v1,CIFAR-10,,,0.685929,0.681566,0.680011,0.684039,0.687445,,,,,,0.177306,0.168450,0.180906,0.171925,0.172375,,,,,,0.677575,0.667525,0.667220,0.673340,0.679680,,,
,Permutation,4-sq-cifar-sr1-909-v1,CIFAR-10,,,0.229817,0.228074,0.231100,0.225955,0.233148,,,,,,0.023289,0.053600,0.004544,0.041806,0.007772,,,,,,0.209725,0.181580,0.214240,0.189000,0.212200,,,
,Rotation,4-sq-cifar-sr1-909-v1,CIFAR-10,,,0.228962,0.232033,0.237461,0.231974,0.224253,,,,,,0.029083,0.025511,0.012939,0.022761,0.022278,,,,,,0.195965,0.212360,0.214335,0.210840,0.198835,,,
