Notes,Task,Folder,Dataset,A-Average,A-Std Dev,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,A-Better?,A-BGD,A-TA-A-GEM,F-Average,F-Std Dev,Forgetting_1,Forgetting_2,Forgetting_3,Forgetting_4,Forgetting_5,F-Better?,F-BGD,F-TA-A-GEM,T-Average,T-Std Dev,FirstTask_1,FirstTask_2,FirstTask_3,FirstTask_4,FirstTask_5,T-Better?,T-BGD,T-TA-A-GEM
,Class Split,4-cc-fashion-047_1-BGD,Fashion-MNIST,,,0.851445,0.844839,0.843876,0.843258,0.846877,,,,,,0.343687,0.362481,0.358525,0.366475,0.357419,,,,,,0.713045,0.696605,0.699130,0.695220,0.700500,,,
,Permutation,4-cc-fashion-047_1-BGD,Fashion-MNIST,,,0.735515,0.736949,0.709712,0.730161,0.742153,,,,,,0.171650,0.195078,0.242122,0.168728,0.191528,,,,,,0.683385,0.659410,0.626740,0.688440,0.673625,,,
,Rotation,4-cc-fashion-047_1-BGD,Fashion-MNIST,,,0.523336,0.518440,0.526924,0.517125,0.510768,,,,,,0.581522,0.608378,0.584567,0.584544,0.601683,,,,,,0.312630,0.295810,0.318295,0.306075,0.287030,,,
,Class Split,4-cc-fashion-05_4-MEGA-oldest,Fashion-MNIST,,,0.942104,0.939035,0.941341,0.938113,0.939124,,,,,,0.063381,0.060181,0.057437,0.068888,0.066519,,,,,,0.929095,0.933230,0.934270,0.925445,0.928340,,,
,Permutation,4-cc-fashion-05_4-MEGA-oldest,Fashion-MNIST,,,0.732643,0.724654,0.707253,0.717889,0.723290,,,,,,0.050406,0.046800,0.094089,0.045039,0.035494,,,,,,0.707560,0.711505,0.665315,0.704470,0.714725,,,
,Rotation,4-cc-fashion-05_4-MEGA-oldest,Fashion-MNIST,,,0.566686,0.552668,0.567663,0.585092,0.573373,,,,,,0.304944,0.351783,0.290572,0.226139,0.250317,,,,,,0.475970,0.445845,0.495895,0.556615,0.529225,,,
,Class Split,4-cc-fashion-sr1-05_4-MEGA-oldest,Fashion-MNIST,,,0.941285,0.941533,0.941110,0.941146,0.940905,,,,,,0.062050,0.058031,0.059250,0.069256,0.056756,,,,,,0.931575,0.935650,0.932665,0.927095,0.936955,,,
,Permutation,4-cc-fashion-sr1-05_4-MEGA-oldest,Fashion-MNIST,,,0.732478,0.727911,0.727495,0.723182,0.719374,,,,,,0.074200,0.082656,0.052567,0.055683,0.081400,,,,,,0.695525,0.684100,0.713160,0.709960,0.680735,,,
,Rotation,4-cc-fashion-sr1-05_4-MEGA-oldest,Fashion-MNIST,,,0.581855,0.584105,0.567884,0.583649,0.576333,,,,,,0.255750,0.253806,0.302494,0.330739,0.290994,,,,,,0.522925,0.536050,0.502635,0.472110,0.495655,,,
,Class Split,4-cc-fashion-sr1-909-v1,Fashion-MNIST,,,0.924494,0.919737,0.919957,0.932038,0.924662,,,,,,0.075181,0.096206,0.081250,0.056206,0.085119,,,,,,0.919470,0.902145,0.914720,0.935265,0.909855,,,
,Permutation,4-cc-fashion-sr1-909-v1,Fashion-MNIST,,,0.704512,0.710059,0.717579,0.715566,0.724616,,,,,,0.089844,0.029161,0.000339,0.004500,0.008817,,,,,,0.626400,0.662325,0.711140,0.694160,0.704570,,,
,Rotation,4-cc-fashion-sr1-909-v1,Fashion-MNIST,,,0.537437,0.532902,0.529902,0.534390,0.527872,,,,,,0.319028,0.313317,0.290239,0.342456,0.356444,,,,,,0.425180,0.427980,0.457280,0.416025,0.393290,,,
,Class Split,4-cc-fashion-sr1-megaii-oldest,Fashion-MNIST,,,0.937345,0.940427,0.940825,0.939899,0.939635,,,,,,0.055212,0.052956,0.053444,0.049837,0.052831,,,,,,0.934660,0.937010,0.938480,0.940430,0.937135,,,
,Permutation,4-cc-fashion-sr1-megaii-oldest,Fashion-MNIST,,,0.721420,0.726989,0.727822,0.722124,0.716170,,,,,,0.035422,0.047728,0.049967,0.078600,0.046317,,,,,,0.698395,0.707030,0.708205,0.677250,0.693230,,,
,Rotation,4-cc-fashion-sr1-megaii-oldest,Fashion-MNIST,,,0.554427,0.561886,0.543890,0.569316,0.542945,,,,,,0.312544,0.216983,0.337950,0.290206,0.304850,,,,,,0.462050,0.543730,0.427420,0.499740,0.482800,,,
,Class Split,4-cc-fashion-sr1-normal-oldest,Fashion-MNIST,,,0.922314,0.926638,0.924123,0.920390,0.920861,,,,,,0.080687,0.083337,0.079019,0.098763,0.098125,,,,,,0.913285,0.911800,0.916665,0.899420,0.899955,,,
,Permutation,4-cc-fashion-sr1-normal-oldest,Fashion-MNIST,,,0.714465,0.713739,0.708885,0.713516,0.705363,,,,,,0.013044,0.003939,0.030778,0.010283,0.033594,,,,,,0.692870,0.707860,0.660495,0.696710,0.680070,,,
,Rotation,4-cc-fashion-sr1-normal-oldest,Fashion-MNIST,,,0.537930,0.531965,0.530097,0.542253,0.537293,,,,,,0.309261,0.332961,0.336161,0.296378,0.310833,,,,,,0.437250,0.405990,0.396505,0.447515,0.438525,,,
,Class Split,4-cc-fashion-sr1-normal-random,Fashion-MNIST,,,0.834858,0.835424,0.834715,0.835097,0.833860,,,,,,0.378981,0.377094,0.376431,0.376075,0.382300,,,,,,0.675085,0.677265,0.676525,0.677770,0.672845,,,
,Permutation,4-cc-fashion-sr1-normal-random,Fashion-MNIST,,,0.706417,0.698931,0.705556,0.711797,0.697096,,,,,,0.086561,0.144606,0.117261,0.038233,0.128222,,,,,,0.638740,0.584245,0.606605,0.672260,0.594030,,,
,Rotation,4-cc-fashion-sr1-normal-random,Fashion-MNIST,,,0.485120,0.479950,0.475875,0.474361,0.475727,,,,,,0.463494,0.483989,0.485944,0.488550,0.481589,,,,,,0.297985,0.284635,0.283200,0.284180,0.284585,,,
,Class Split,5-cc-fashion-909-v2,Fashion-MNIST,,,0.923177,0.929191,0.926566,0.929635,0.921832,,,,,,0.085700,0.066006,0.072725,0.058569,0.100919,,,,,,0.910800,0.926165,0.919130,0.931230,0.897885,,,
,Permutation,5-cc-fashion-909-v2,Fashion-MNIST,,,0.711740,0.719161,0.710781,0.717350,0.719959,,,,,,0.019611,0.008000,0.012133,0.013561,-0.007900,,,,,,0.694505,0.709880,0.694190,0.694270,0.708690,,,
,Rotation,5-cc-fashion-909-v2,Fashion-MNIST,,,0.532644,0.530045,0.538512,0.533896,0.539066,,,,,,0.312428,0.302317,0.284472,0.341600,0.287489,,,,,,0.441770,0.436770,0.459875,0.411140,0.471575,,,
,Class Split,5-cc-fashion-megaii-mean,Fashion-MNIST,,,0.946550,0.938107,0.944200,0.943840,0.944488,,,,,,0.031012,0.033675,0.030144,0.033075,0.033719,,,,,,0.955780,0.954110,0.955615,0.954540,0.953260,,,
,Permutation,5-cc-fashion-megaii-mean,Fashion-MNIST,,,0.719433,0.729994,0.729882,0.719146,0.717086,,,,,,0.050128,0.049200,0.028972,0.053928,0.057039,,,,,,0.690025,0.697200,0.730500,0.678790,0.689355,,,
,Rotation,5-cc-fashion-megaii-mean,Fashion-MNIST,,,0.572669,0.585237,0.605770,0.576487,0.595209,,,,,,0.198839,0.180600,0.161100,0.189250,0.170256,,,,,,0.587870,0.592620,0.625450,0.584810,0.607395,,,
,Class Split,5-cc-fashion-normal-mean,Fashion-MNIST,,,0.932508,0.933423,0.932180,0.930165,0.934219,,,,,,0.043219,0.038781,0.039413,0.045306,0.042262,,,,,,0.944335,0.949430,0.945960,0.943090,0.946125,,,
,Permutation,5-cc-fashion-normal-mean,Fashion-MNIST,,,0.716335,0.700657,0.723096,0.713868,0.707597,,,,,,0.001950,-0.006200,-0.005194,0.007789,0.015506,,,,,,0.696915,0.702160,0.710570,0.699090,0.688470,,,
,Rotation,5-cc-fashion-normal-mean,Fashion-MNIST,,,0.557947,0.564596,0.557006,0.551321,0.557077,,,,,,0.203772,0.199233,0.195978,0.229878,0.218778,,,,,,0.531425,0.537950,0.537990,0.517560,0.510695,,,
