Notes,Task,Folder,Dataset,A-Average,A-Std Dev,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,A-Better?,A-BGD,A-TA-A-GEM,F-Average,F-Std Dev,Forgetting_1,Forgetting_2,Forgetting_3,Forgetting_4,Forgetting_5,F-Better?,F-BGD,F-TA-A-GEM,T-Average,T-Std Dev,FirstTask_1,FirstTask_2,FirstTask_3,FirstTask_4,FirstTask_5,T-Better?,T-BGD,T-TA-A-GEM
,Class Split,4-sq-mnist-047_1-BGD,MNIST,,,0.771168,0.766340,0.762641,0.777525,0.764226,,,,,,0.523735,0.537151,0.563978,0.521519,0.556424,,,,,,0.580449,0.569730,0.548255,0.582199,0.554303,,,
,Permutation,4-sq-mnist-047_1-BGD,MNIST,,,0.876769,0.854981,0.859792,0.844576,0.868295,,,,,,0.127372,0.201294,0.149933,0.258356,0.125244,,,,,,0.820550,0.752405,0.800590,0.703655,0.822920,,,
,Rotation,4-sq-mnist-047_1-BGD,MNIST,,,0.692466,0.696609,0.706151,0.698393,0.693056,,,,,,0.485878,0.483261,0.469028,0.480044,0.480928,,,,,,0.498165,0.492630,0.509680,0.501300,0.498665,,,
,Class Split,4-sq-mnist-05_4-MEGA-mean,MNIST,,,0.925657,0.932618,0.924767,0.920974,0.926110,,,,,,0.062352,0.037216,0.070656,0.043262,0.082358,,,,,,0.949901,0.969669,0.942861,0.964340,0.933598,,,
,Permutation,4-sq-mnist-05_4-MEGA-mean,MNIST,,,0.803813,0.791570,0.791746,0.794327,0.795000,,,,,,0.032817,0.078844,0.062933,0.064378,0.088089,,,,,,0.826000,0.785590,0.809190,0.795420,0.779435,,,
,Rotation,4-sq-mnist-05_4-MEGA-mean,MNIST,,,0.698503,0.691523,0.707918,0.702657,0.703221,,,,,,0.339006,0.333672,0.327394,0.321867,0.334861,,,,,,0.553335,0.548025,0.555670,0.571375,0.551910,,,
,Class Split,4-sq-mnist-05_4-MEGA-oldest,MNIST,,,0.908082,0.898918,0.891354,0.899708,0.896532,,,,,,0.248286,0.265443,0.295999,0.279746,0.283783,,,,,,0.800374,0.787035,0.762194,0.775191,0.772355,,,
,Permutation,4-sq-mnist-05_4-MEGA-oldest,MNIST,,,0.803469,0.788599,0.797332,0.804942,0.801223,,,,,,0.055189,0.075983,0.078967,0.068472,0.102606,,,,,,0.813820,0.793245,0.798270,0.803605,0.778340,,,
,Rotation,4-sq-mnist-05_4-MEGA-oldest,MNIST,,,0.651702,0.655056,0.660090,0.667166,0.664132,,,,,,0.474033,0.447050,0.452650,0.436506,0.441606,,,,,,0.444360,0.460800,0.466460,0.471705,0.459805,,,
,Class Split,4-sq-mnist-909-v1,MNIST,,,0.871631,0.871826,0.869664,0.869570,0.881699,,,,,,0.222394,0.195065,0.210727,0.202234,0.163528,,,,,,0.821522,0.842983,0.830459,0.837626,0.868213,,,
,Permutation,4-sq-mnist-909-v1,MNIST,,,0.771098,0.775349,0.778566,0.794861,0.778694,,,,,,0.089189,0.020750,0.036261,0.052094,0.080333,,,,,,0.741160,0.774175,0.787055,0.777240,0.747725,,,
,Rotation,4-sq-mnist-909-v1,MNIST,,,0.624030,0.620983,0.614425,0.621323,0.628435,,,,,,0.439356,0.440689,0.421361,0.441228,0.432556,,,,,,0.425345,0.430685,0.422825,0.422675,0.429435,,,
,Class Split,4-sq-mnist-909-v2,MNIST,,,0.851498,0.847663,0.848389,0.846030,0.853803,,,,,,0.334953,0.337234,0.346531,0.333446,0.310479,,,,,,0.731475,0.729248,0.721806,0.732686,0.751050,,,
,Permutation,4-sq-mnist-909-v2,MNIST,,,0.780156,0.776236,0.788534,0.778318,0.772994,,,,,,0.058517,0.067622,0.051811,0.073400,0.077150,,,,,,0.767275,0.752475,0.765890,0.754085,0.750500,,,
,Rotation,4-sq-mnist-909-v2,MNIST,,,0.619674,0.613109,0.609366,0.618009,0.615318,,,,,,0.451617,0.432922,0.445561,0.424806,0.458317,,,,,,0.414385,0.413400,0.409730,0.423325,0.405830,,,
,Class Split,4-sq-mnist-sr1-megaii-oldest,MNIST,,,0.889048,0.875592,0.887179,0.876724,0.881809,,,,,,0.282778,0.321714,0.284125,0.327730,0.295284,,,,,,0.773239,0.741674,0.772156,0.736856,0.762775,,,
,Permutation,4-sq-mnist-sr1-megaii-oldest,MNIST,,,0.785315,0.773026,0.782729,0.797078,0.793362,,,,,,0.070861,0.085417,0.058939,0.070178,0.087667,,,,,,0.782400,0.771745,0.797845,0.782005,0.780430,,,
,Rotation,4-sq-mnist-sr1-megaii-oldest,MNIST,,,0.646884,0.631292,0.645238,0.635638,0.643028,,,,,,0.453989,0.450967,0.444333,0.479417,0.452133,,,,,,0.440295,0.437780,0.445670,0.425045,0.440350,,,
,Class Split,4-sq-mnist-sr1-normal-mean,MNIST,,,0.883916,0.873806,0.880477,0.890827,0.881880,,,,,,0.155207,0.163487,0.183540,0.119681,0.172181,,,,,,0.874856,0.868222,0.852586,0.903262,0.861286,,,
,Permutation,4-sq-mnist-sr1-normal-mean,MNIST,,,0.772516,0.777425,0.785791,0.781070,0.788243,,,,,,0.037233,0.101878,0.029800,0.052378,0.026189,,,,,,0.775180,0.728995,0.785040,0.768390,0.773885,,,
,Rotation,4-sq-mnist-sr1-normal-mean,MNIST,,,0.635747,0.631559,0.636555,0.635294,0.630817,,,,,,0.392583,0.412361,0.412328,0.373567,0.434183,,,,,,0.460540,0.443255,0.441335,0.467755,0.438875,,,
,Class Split,4-sq-mnist-sr1-normal-oldest,MNIST,,,0.846623,0.837732,0.836386,0.841472,0.843578,,,,,,0.331093,0.380981,0.366430,0.345686,0.345869,,,,,,0.734582,0.694203,0.706255,0.722482,0.722326,,,
,Permutation,4-sq-mnist-sr1-normal-oldest,MNIST,,,0.778171,0.786800,0.782163,0.775474,0.779771,,,,,,0.094661,0.065422,0.040772,0.053983,0.058900,,,,,,0.734080,0.755545,0.770780,0.759545,0.757400,,,
,Rotation,4-sq-mnist-sr1-normal-oldest,MNIST,,,0.616923,0.617021,0.614135,0.619515,0.613445,,,,,,0.438861,0.446761,0.432283,0.444817,0.438900,,,,,,0.422315,0.415920,0.417720,0.415285,0.416860,,,
,Class Split,4-sq-mnist-sr1-normal-random,MNIST,,,0.805182,0.808696,0.805556,0.807081,0.807449,,,,,,0.420284,0.405656,0.413871,0.411761,0.415952,,,,,,0.662790,0.674908,0.668298,0.670071,0.666638,,,
,Permutation,4-sq-mnist-sr1-normal-random,MNIST,,,0.742196,0.764355,0.744697,0.759014,0.758392,,,,,,0.221450,0.119128,0.177950,0.162811,0.158817,,,,,,0.604540,0.699800,0.649570,0.684080,0.669835,,,
,Rotation,4-sq-mnist-sr1-normal-random,MNIST,,,0.599418,0.601954,0.602110,0.604960,0.605084,,,,,,0.470906,0.476050,0.455600,0.464028,0.456683,,,,,,0.386405,0.385785,0.388645,0.396800,0.391765,,,
