Task Type,Run Number,Final Accuracy
class_split,1,0.9348716666666667
class_split,2,0.9370316666666667
class_split,3,0.940825
class_split,4,0.9317066666666667
class_split,5,0.9304016666666667
permutation,1,0.7006481818181818
permutation,2,0.7000881818181818
permutation,3,0.6795027272727272
permutation,4,0.6870709090909091
permutation,5,0.6888654545454544
rotation,1,0.5243372727272727
rotation,2,0.5154454545454545
rotation,3,0.5153490909090909
rotation,4,0.5341745454545455
rotation,5,0.5057354545454545
