Task Type,Run Number,Final Accuracy
class_split,1,0.8212638363043522
class_split,2,0.8371792658350721
class_split,3,0.8361479097869767
class_split,4,0.8542330550342011
class_split,5,0.8530038063550517
permutation,1,0.75356
permutation,2,0.7608736363636364
permutation,3,0.7741345454545454
permutation,4,0.7789072727272728
permutation,5,0.7648518181818181
rotation,1,0.5719963636363636
rotation,2,0.5649490909090908
rotation,3,0.567679090909091
rotation,4,0.583150909090909
rotation,5,0.5614336363636364
